product_id,name,category,brand,price,in_stock,rating,reviews_count,updated_at,spec_screen_type,spec_screen_size,spec_smart_tv,spec_processor,spec_ram,spec_storage,spec_camera,spec_battery
mUW704,Face-to-face context-sensitive solution,Laptop,HP,343.69,True,4.8,746,2025-07-18T02:59:12.778383,,13.3 inch,,AMD Ryzen 5,16GB,256GB SSD,,
lGa615,Multi-channeled content-based leverage,Television,Sony,1578.92,False,4.1,704,2025-07-18T02:59:12.778436,OLED,55 inch,True,,,,,
HdU050,Integrated asynchronous capability,Television,Samsung,299.62,True,4.8,578,2025-07-18T02:59:12.778487,QLED,55 inch,True,,,,,
Hro722,Programmable scalable support,Smartphone,OnePlus,258.68,False,4.4,176,2025-07-18T02:59:12.778540,,,,A16 Bionic,,128GB,48MP,4000mAh
RFp031,Function-based encompassing challenge,Smartphone,Samsung,1218.32,True,3.7,547,2025-07-18T02:59:12.778596,,,,A16 Bionic,,256GB,12MP,3000mAh
dmx895,Pre-emptive logistical groupware,Television,Samsung,1895.29,False,4.9,441,2025-07-18T02:59:12.778650,QLED,43 inch,True,,,,,
ZFR430,Focused content-based algorithm,Laptop,HP,1388.06,True,4.7,659,2025-07-18T02:59:12.778711,,13.3 inch,,Intel i5,8GB,256GB SSD,,
uZi116,Digitized directional help-desk,Television,Samsung,649.76,False,4.5,540,2025-07-18T02:59:12.778763,OLED,43 inch,True,,,,,
egB531,Synergized optimizing monitoring,Laptop,Lenovo,895.27,True,4.3,313,2025-07-18T02:59:12.778821,,15.6 inch,,AMD Ryzen 5,8GB,256GB SSD,,
xUx482,Team-oriented discrete instruction set,Smartphone,Apple,911.47,False,4.7,50,2025-07-18T02:59:12.778889,,,,Snapdragon 8 Gen 2,,128GB,48MP,3000mAh
YCC817,Intuitive composite knowledge user,Laptop,Lenovo,1175.4,True,4.7,830,2025-07-18T02:59:12.778940,,15.6 inch,,AMD Ryzen 5,8GB,512GB SSD,,
ksp031,Persistent neutral synergy,Laptop,HP,1980.52,False,4.9,606,2025-07-18T02:59:12.778992,,15.6 inch,,Intel i5,8GB,512GB SSD,,
ftr200,Stand-alone disintermediate forecast,Smartphone,Samsung,664.11,True,3.7,678,2025-07-18T02:59:12.779044,,,,Snapdragon 8 Gen 2,,128GB,12MP,3000mAh
OOq344,Diverse tertiary pricing structure,Laptop,HP,1787.79,True,4.1,97,2025-07-18T02:59:12.779099,,13.3 inch,,Intel i7,16GB,512GB SSD,,
Hsp456,User-friendly tertiary software,Television,Sony,601.95,False,3.6,42,2025-07-18T02:59:12.779151,QLED,43 inch,True,,,,,
IpZ428,Reverse-engineered directional access,Television,LG,746.9,True,4.1,6,2025-07-18T02:59:12.779201,QLED,43 inch,True,,,,,
FTS065,Customizable asynchronous application,Smartphone,Apple,1148.8,True,4.7,30,2025-07-18T02:59:12.779253,,,,A16 Bionic,,128GB,12MP,3000mAh
rHh179,Progressive global forecast,Smartphone,OnePlus,1559.99,True,3.8,597,2025-07-18T02:59:12.779305,,,,Snapdragon 8 Gen 2,,128GB,48MP,4000mAh
VuZ984,Function-based dedicated standardization,Smartphone,Apple,1605.52,False,4.0,638,2025-07-18T02:59:12.779357,,,,Snapdragon 8 Gen 2,,128GB,12MP,4000mAh
yAG896,Progressive stable circuit,Television,Sony,1379.35,False,3.8,659,2025-07-18T02:59:12.779407,QLED,55 inch,True,,,,,
UGP963,Reduced dedicated hub,Laptop,Lenovo,1408.2,True,4.8,371,2025-07-18T02:59:12.779457,,15.6 inch,,AMD Ryzen 5,16GB,512GB SSD,,
iDM638,Front-line zero-defect database,Laptop,Dell,1117.29,False,5.0,670,2025-07-18T02:59:12.779506,,13.3 inch,,Intel i5,8GB,512GB SSD,,
vcS686,Managed heuristic service-desk,Television,Sony,1846.44,True,3.9,494,2025-07-18T02:59:12.779554,OLED,55 inch,True,,,,,
VXA730,Sharable next generation analyzer,Laptop,HP,946.2,False,4.2,712,2025-07-18T02:59:12.779604,,15.6 inch,,AMD Ryzen 5,8GB,256GB SSD,,
dCI268,Profound uniform migration,Smartphone,Samsung,269.24,False,4.5,11,2025-07-18T02:59:12.779655,,,,A16 Bionic,,128GB,12MP,4000mAh
jpd869,Triple-buffered 3rdgeneration Internet solution,Smartphone,Apple,1163.08,True,4.6,515,2025-07-18T02:59:12.779706,,,,A16 Bionic,,128GB,48MP,4000mAh
Fhn494,Cross-platform foreground attitude,Television,Samsung,1327.83,False,3.8,578,2025-07-18T02:59:12.779757,OLED,55 inch,True,,,,,
ymS240,Multi-lateral coherent pricing structure,Television,LG,1569.71,True,3.9,694,2025-07-18T02:59:12.779810,QLED,55 inch,True,,,,,
tDS162,Triple-buffered 24/7 open architecture,Smartphone,Apple,1940.02,True,4.8,673,2025-07-18T02:59:12.779864,,,,Snapdragon 8 Gen 2,,256GB,48MP,4000mAh
GWA327,Front-line discrete Local Area Network,Television,LG,1613.55,False,4.9,283,2025-07-18T02:59:12.779917,OLED,43 inch,True,,,,,
fGk584,Total multi-state intranet,Smartphone,Samsung,1343.34,False,4.2,413,2025-07-18T02:59:12.779966,,,,Snapdragon 8 Gen 2,,256GB,48MP,3000mAh
kvU094,Balanced tertiary budgetary management,Smartphone,Samsung,413.4,False,3.7,512,2025-07-18T02:59:12.780015,,,,Snapdragon 8 Gen 2,,128GB,12MP,3000mAh
gby515,Reverse-engineered 4thgeneration analyzer,Smartphone,OnePlus,827.64,False,3.6,799,2025-07-18T02:59:12.780065,,,,Snapdragon 8 Gen 2,,256GB,12MP,4000mAh
Zrs645,Inverse 24hour instruction set,Smartphone,Samsung,1912.3,True,3.9,851,2025-07-18T02:59:12.780117,,,,Snapdragon 8 Gen 2,,128GB,12MP,3000mAh
KEt567,Devolved fault-tolerant orchestration,Laptop,HP,1653.92,True,3.8,675,2025-07-18T02:59:12.780190,,15.6 inch,,Intel i5,8GB,512GB SSD,,
poH425,De-engineered even-keeled hierarchy,Smartphone,OnePlus,431.13,True,4.8,699,2025-07-18T02:59:12.780258,,,,A16 Bionic,,256GB,48MP,3000mAh
FrT026,Centralized dynamic open architecture,Smartphone,Apple,436.97,True,4.0,241,2025-07-18T02:59:12.780309,,,,Snapdragon 8 Gen 2,,256GB,48MP,4000mAh
NtG647,Organic client-driven ability,Smartphone,OnePlus,1806.12,True,4.7,247,2025-07-18T02:59:12.780362,,,,A16 Bionic,,256GB,48MP,4000mAh
Fbh868,Automated solution-oriented array,Laptop,HP,1318.9,True,4.0,433,2025-07-18T02:59:12.780414,,15.6 inch,,Intel i7,16GB,256GB SSD,,
Vjr010,Down-sized motivating encoding,Smartphone,OnePlus,635.61,False,3.8,202,2025-07-18T02:59:12.780472,,,,Snapdragon 8 Gen 2,,256GB,12MP,3000mAh
Age053,Up-sized stable support,Smartphone,Samsung,612.94,False,4.7,783,2025-07-18T02:59:12.780527,,,,Snapdragon 8 Gen 2,,128GB,48MP,4000mAh
Ftz547,Reactive web-enabled encryption,Television,Sony,518.74,True,4.1,365,2025-07-18T02:59:12.780574,OLED,43 inch,True,,,,,
nsh435,Open-architected 5thgeneration model,Smartphone,Samsung,536.26,False,3.9,423,2025-07-18T02:59:12.780624,,,,Snapdragon 8 Gen 2,,256GB,12MP,4000mAh
Ckr162,Function-based next generation hub,Television,Samsung,1952.38,True,3.9,453,2025-07-18T02:59:12.780668,QLED,55 inch,True,,,,,
Zgc244,De-engineered background archive,Smartphone,Apple,501.91,True,4.8,941,2025-07-18T02:59:12.780715,,,,Snapdragon 8 Gen 2,,128GB,48MP,4000mAh
mcy620,Synergistic radical support,Smartphone,OnePlus,1160.61,True,4.7,735,2025-07-18T02:59:12.780769,,,,Snapdragon 8 Gen 2,,128GB,48MP,3000mAh
guv535,Enhanced leadingedge hierarchy,Smartphone,Samsung,850.35,False,4.7,734,2025-07-18T02:59:12.780819,,,,Snapdragon 8 Gen 2,,128GB,12MP,3000mAh
jWS911,Cross-group 4thgeneration archive,Laptop,Dell,383.47,False,4.9,491,2025-07-18T02:59:12.780871,,15.6 inch,,AMD Ryzen 5,8GB,256GB SSD,,
UDX379,Extended optimal model,Television,LG,1007.89,True,4.8,483,2025-07-18T02:59:12.780919,QLED,55 inch,True,,,,,
RdA675,Virtual regional core,Smartphone,Samsung,1846.13,False,3.7,496,2025-07-18T02:59:12.780975,,,,Snapdragon 8 Gen 2,,128GB,48MP,4000mAh
dSB098,Sharable composite initiative,Smartphone,Apple,599.02,False,4.7,846,2025-07-18T02:59:12.781022,,,,A16 Bionic,,256GB,48MP,3000mAh
oum854,Down-sized asymmetric hardware,Television,Sony,1384.23,False,4.8,20,2025-07-18T02:59:12.781067,OLED,43 inch,True,,,,,
Sbh663,Universal composite hub,Smartphone,OnePlus,1046.13,True,4.4,45,2025-07-18T02:59:12.781113,,,,A16 Bionic,,256GB,48MP,4000mAh
poz327,Streamlined well-modulated focus group,Television,Sony,344.74,False,3.7,232,2025-07-18T02:59:12.781158,QLED,43 inch,True,,,,,
OLk271,Organized web-enabled frame,Television,Samsung,1382.16,False,4.4,799,2025-07-18T02:59:12.781205,QLED,55 inch,True,,,,,
YhE070,Optional logistical approach,Laptop,Dell,730.33,True,4.2,744,2025-07-18T02:59:12.781254,,15.6 inch,,Intel i7,8GB,512GB SSD,,
HEE568,Multi-channeled zero-defect neural-net,Smartphone,Apple,431.87,False,4.3,461,2025-07-18T02:59:12.781300,,,,A16 Bionic,,256GB,12MP,3000mAh
qHA604,Horizontal systematic throughput,Smartphone,Apple,1358.76,True,4.4,97,2025-07-18T02:59:12.781347,,,,A16 Bionic,,128GB,48MP,4000mAh
YDb501,Monitored demand-driven strategy,Television,Sony,1564.66,False,4.8,559,2025-07-18T02:59:12.781393,OLED,55 inch,True,,,,,
Whz247,Multi-tiered composite contingency,Smartphone,Apple,1472.24,True,4.6,888,2025-07-18T02:59:12.781444,,,,Snapdragon 8 Gen 2,,128GB,12MP,4000mAh
JRU398,Diverse leadingedge time-frame,Smartphone,OnePlus,597.96,True,4.8,308,2025-07-18T02:59:12.781488,,,,A16 Bionic,,128GB,12MP,3000mAh
lpN047,Networked fresh-thinking array,Laptop,Lenovo,1418.38,False,4.9,161,2025-07-18T02:59:12.781532,,13.3 inch,,Intel i5,8GB,256GB SSD,,
eiS083,Total web-enabled core,Laptop,Dell,1984.84,True,4.0,852,2025-07-18T02:59:12.781575,,15.6 inch,,Intel i5,8GB,512GB SSD,,
fwq055,Expanded systemic synergy,Smartphone,Samsung,1619.51,False,4.0,973,2025-07-18T02:59:12.781620,,,,A16 Bionic,,256GB,12MP,3000mAh
WXt497,Decentralized scalable process improvement,Laptop,HP,715.06,True,4.8,603,2025-07-18T02:59:12.781665,,15.6 inch,,Intel i5,8GB,256GB SSD,,
eEJ131,Integrated transitional middleware,Smartphone,OnePlus,650.98,False,3.6,26,2025-07-18T02:59:12.781711,,,,Snapdragon 8 Gen 2,,128GB,12MP,3000mAh
FBk730,Profound methodical forecast,Laptop,Lenovo,287.91,False,4.6,326,2025-07-18T02:59:12.781756,,13.3 inch,,Intel i7,8GB,512GB SSD,,
RrF214,Reduced impactful installation,Television,Sony,1207.59,False,4.7,928,2025-07-18T02:59:12.781799,OLED,43 inch,True,,,,,
nRY877,Quality-focused interactive open architecture,Television,LG,1259.96,False,3.8,348,2025-07-18T02:59:12.781841,OLED,55 inch,True,,,,,
IWN100,Object-based background extranet,Smartphone,OnePlus,1016.66,True,4.2,817,2025-07-18T02:59:12.781886,,,,Snapdragon 8 Gen 2,,128GB,12MP,3000mAh
jwm958,Optimized tertiary definition,Television,Samsung,204.71,True,3.5,332,2025-07-18T02:59:12.781928,QLED,43 inch,True,,,,,
gpH632,Proactive asynchronous moderator,Laptop,Lenovo,1676.7,False,4.5,514,2025-07-18T02:59:12.781971,,15.6 inch,,Intel i7,8GB,512GB SSD,,
lFN303,Pre-emptive holistic database,Smartphone,OnePlus,1799.09,False,5.0,896,2025-07-18T02:59:12.782014,,,,A16 Bionic,,256GB,48MP,4000mAh
Ges769,Stand-alone fresh-thinking adapter,Television,Samsung,1109.79,False,3.6,471,2025-07-18T02:59:12.782057,OLED,55 inch,True,,,,,
fyY511,Future-proofed heuristic service-desk,Television,Sony,1247.39,False,4.1,374,2025-07-18T02:59:12.782099,OLED,55 inch,True,,,,,
QLh837,Realigned zero-defect utilization,Smartphone,Apple,1628.78,True,4.1,644,2025-07-18T02:59:12.782143,,,,A16 Bionic,,256GB,12MP,3000mAh
Ddf977,Public-key mobile pricing structure,Television,LG,436.09,False,4.6,134,2025-07-18T02:59:12.782224,QLED,43 inch,True,,,,,
qLI367,Reduced methodical success,Television,Sony,1696.8,True,4.5,649,2025-07-18T02:59:12.782291,QLED,43 inch,True,,,,,
UUV279,Multi-lateral even-keeled strategy,Smartphone,OnePlus,1524.05,True,3.7,136,2025-07-18T02:59:12.782339,,,,A16 Bionic,,256GB,12MP,4000mAh
fAk013,Balanced web-enabled support,Television,LG,1468.48,False,4.2,690,2025-07-18T02:59:12.782390,OLED,43 inch,True,,,,,
nGs712,Optional contextually-based instruction set,Television,Sony,937.84,False,4.5,872,2025-07-18T02:59:12.782434,QLED,43 inch,True,,,,,
tQr119,Vision-oriented client-server open system,Television,LG,1778.35,False,4.0,810,2025-07-18T02:59:12.782484,OLED,43 inch,True,,,,,
vBt899,Re-engineered 24hour hub,Television,LG,202.46,True,4.9,511,2025-07-18T02:59:12.782525,QLED,55 inch,True,,,,,
ikx671,Digitized needs-based matrix,Television,Sony,1404.53,True,4.4,10,2025-07-18T02:59:12.782569,QLED,43 inch,True,,,,,
Pdf018,Sharable holistic toolset,Laptop,Dell,1699.88,True,4.8,281,2025-07-18T02:59:12.782612,,15.6 inch,,Intel i7,16GB,256GB SSD,,
ebj033,Multi-layered impactful array,Smartphone,OnePlus,919.88,True,4.8,904,2025-07-18T02:59:12.782653,,,,Snapdragon 8 Gen 2,,256GB,48MP,3000mAh
TYA724,Programmable 3rdgeneration open architecture,Laptop,Dell,364.89,False,4.0,951,2025-07-18T02:59:12.782695,,13.3 inch,,AMD Ryzen 5,8GB,512GB SSD,,
nJB511,Universal motivating service-desk,Laptop,HP,1768.4,True,4.4,435,2025-07-18T02:59:12.782736,,15.6 inch,,AMD Ryzen 5,16GB,512GB SSD,,
PiD370,Re-engineered 3rdgeneration product,Smartphone,Samsung,1206.58,False,3.9,227,2025-07-18T02:59:12.782777,,,,A16 Bionic,,128GB,12MP,3000mAh
TYl598,Progressive uniform encryption,Laptop,Dell,383.35,True,4.7,694,2025-07-18T02:59:12.782822,,15.6 inch,,AMD Ryzen 5,16GB,256GB SSD,,
saB140,Reverse-engineered content-based moratorium,Smartphone,Apple,352.98,True,4.9,404,2025-07-18T02:59:12.782866,,,,Snapdragon 8 Gen 2,,128GB,12MP,4000mAh
QxO429,Self-enabling static standardization,Television,LG,1590.44,True,4.6,53,2025-07-18T02:59:12.782906,QLED,55 inch,True,,,,,
UDW901,Mandatory asymmetric artificial intelligence,Laptop,Lenovo,1683.16,True,4.7,854,2025-07-18T02:59:12.782949,,15.6 inch,,Intel i7,8GB,512GB SSD,,
tXH407,Operative clear-thinking customer loyalty,Television,Samsung,703.72,True,4.5,104,2025-07-18T02:59:12.782991,OLED,43 inch,True,,,,,
brg931,Realigned methodical contingency,Television,LG,335.93,False,3.6,138,2025-07-18T02:59:12.783032,OLED,55 inch,True,,,,,
qdN443,Reverse-engineered multi-tasking customer loyalty,Laptop,Dell,1720.95,False,4.8,793,2025-07-18T02:59:12.783075,,13.3 inch,,Intel i5,8GB,256GB SSD,,
tYS320,Intuitive value-added encryption,Television,Sony,1611.81,True,4.8,244,2025-07-18T02:59:12.783116,QLED,43 inch,True,,,,,
ITq765,Optional fault-tolerant policy,Television,Sony,1486.26,False,4.1,645,2025-07-18T02:59:12.783158,QLED,43 inch,True,,,,,
GIH602,Innovative methodical application,Laptop,HP,1959.66,True,4.0,431,2025-07-18T02:59:12.783203,,13.3 inch,,Intel i5,16GB,256GB SSD,,
VlN563,Ergonomic zero administration artificial intelligence,Television,Samsung,1052.95,True,3.9,231,2025-07-18T02:59:12.783252,QLED,43 inch,True,,,,,
Vwi075,Digitized value-added Graphic Interface,Television,Sony,1650.44,True,4.8,682,2025-07-18T02:59:12.783293,OLED,55 inch,True,,,,,
iEo415,Organic tertiary service-desk,Laptop,Lenovo,813.92,True,4.5,718,2025-07-18T02:59:12.783350,,15.6 inch,,Intel i7,8GB,512GB SSD,,
nZH070,Distributed systematic budgetary management,Smartphone,OnePlus,255.85,True,4.4,867,2025-07-18T02:59:12.783391,,,,Snapdragon 8 Gen 2,,128GB,12MP,4000mAh
guu789,Self-enabling intermediate projection,Smartphone,Samsung,382.97,True,4.4,868,2025-07-18T02:59:12.783434,,,,A16 Bionic,,128GB,48MP,3000mAh
ujT714,Adaptive directional pricing structure,Smartphone,OnePlus,1948.36,False,4.3,697,2025-07-18T02:59:12.783496,,,,A16 Bionic,,256GB,12MP,4000mAh
eIM980,Secured object-oriented analyzer,Television,Sony,980.75,False,4.5,240,2025-07-18T02:59:12.783568,QLED,43 inch,True,,,,,
IuT744,Cross-platform interactive firmware,Laptop,HP,1039.72,True,4.6,480,2025-07-18T02:59:12.783618,,15.6 inch,,Intel i5,8GB,256GB SSD,,
bfp085,Public-key fault-tolerant website,Smartphone,OnePlus,1474.07,True,3.8,863,2025-07-18T02:59:12.783659,,,,A16 Bionic,,256GB,48MP,3000mAh
uAm003,Multi-channeled disintermediate artificial intelligence,Smartphone,Samsung,1049.84,True,4.8,439,2025-07-18T02:59:12.783722,,,,A16 Bionic,,128GB,48MP,4000mAh
Wdp082,Adaptive optimizing standardization,Smartphone,Apple,1972.92,True,3.6,822,2025-07-18T02:59:12.783771,,,,A16 Bionic,,256GB,12MP,3000mAh
xdP693,Fully-configurable 6thgeneration frame,Smartphone,Apple,1101.38,False,4.3,718,2025-07-18T02:59:12.783814,,,,A16 Bionic,,128GB,12MP,3000mAh
jyN378,Business-focused solution-oriented productivity,Television,Sony,1593.75,True,3.7,469,2025-07-18T02:59:12.783855,QLED,43 inch,True,,,,,
qvx539,Monitored optimizing toolset,Television,LG,385.79,False,4.1,848,2025-07-18T02:59:12.783897,QLED,43 inch,True,,,,,
nnZ543,Inverse executive core,Laptop,Lenovo,835.22,True,4.2,100,2025-07-18T02:59:12.783943,,15.6 inch,,Intel i5,16GB,256GB SSD,,
UNy869,Self-enabling content-based Internet solution,Television,Sony,1886.77,False,4.8,811,2025-07-18T02:59:12.783984,QLED,55 inch,True,,,,,
rVd118,Realigned methodical function,Smartphone,Apple,1633.45,False,5.0,79,2025-07-18T02:59:12.784026,,,,A16 Bionic,,256GB,12MP,3000mAh
sRs175,Synchronized composite Internet solution,Laptop,Lenovo,1292.79,False,4.6,75,2025-07-18T02:59:12.784068,,13.3 inch,,Intel i5,8GB,256GB SSD,,
bls921,Fully-configurable zero administration toolset,Television,Sony,451.93,True,4.9,663,2025-07-18T02:59:12.784107,OLED,43 inch,True,,,,,
omd034,Intuitive logistical secured line,Television,Samsung,1969.34,False,4.9,467,2025-07-18T02:59:12.784147,QLED,55 inch,True,,,,,
JeB410,Pre-emptive multi-tasking complexity,Smartphone,Samsung,1294.72,True,4.8,775,2025-07-18T02:59:12.784206,,,,A16 Bionic,,128GB,48MP,4000mAh
UDG862,User-friendly transitional circuit,Smartphone,Apple,1200.91,True,4.0,119,2025-07-18T02:59:12.784250,,,,A16 Bionic,,128GB,48MP,4000mAh
Ose456,Multi-lateral systemic leverage,Smartphone,Apple,322.86,False,3.7,175,2025-07-18T02:59:12.784331,,,,A16 Bionic,,256GB,48MP,3000mAh
GPL975,Secured demand-driven data-warehouse,Laptop,Dell,406.76,False,4.3,751,2025-07-18T02:59:12.784376,,15.6 inch,,Intel i7,8GB,256GB SSD,,
Qts708,Robust hybrid matrix,Laptop,Dell,1283.73,False,4.0,23,2025-07-18T02:59:12.784419,,15.6 inch,,AMD Ryzen 5,8GB,512GB SSD,,
CQi119,Profound impactful pricing structure,Laptop,HP,1671.08,False,4.4,885,2025-07-18T02:59:12.784462,,15.6 inch,,Intel i5,16GB,256GB SSD,,
UdZ008,Versatile uniform throughput,Smartphone,Apple,1950.44,False,4.5,959,2025-07-18T02:59:12.784504,,,,A16 Bionic,,128GB,12MP,3000mAh
BNI827,Innovative reciprocal forecast,Smartphone,OnePlus,1803.04,False,4.0,961,2025-07-18T02:59:12.784546,,,,Snapdragon 8 Gen 2,,128GB,12MP,3000mAh
gbt380,Synergized regional attitude,Laptop,Dell,1422.11,True,3.9,999,2025-07-18T02:59:12.784589,,13.3 inch,,Intel i7,8GB,256GB SSD,,
qyi346,Polarized responsive analyzer,Laptop,HP,1042.12,False,3.6,588,2025-07-18T02:59:12.784631,,13.3 inch,,AMD Ryzen 5,8GB,256GB SSD,,
Wdy868,Integrated bi-directional product,Smartphone,Samsung,1180.56,True,3.6,1,2025-07-18T02:59:12.784677,,,,Snapdragon 8 Gen 2,,256GB,12MP,3000mAh
DNQ004,Multi-tiered mobile functionalities,Television,Sony,206.25,True,3.6,678,2025-07-18T02:59:12.784717,QLED,55 inch,True,,,,,
ehK858,Multi-lateral didactic neural-net,Television,LG,1515.13,True,3.9,907,2025-07-18T02:59:12.784758,OLED,43 inch,True,,,,,
alq399,Focused methodical matrices,Television,Samsung,959.6,False,4.8,390,2025-07-18T02:59:12.784799,OLED,43 inch,True,,,,,
zXl203,Multi-channeled eco-centric projection,Smartphone,Apple,1800.32,False,4.7,516,2025-07-18T02:59:12.784842,,,,Snapdragon 8 Gen 2,,256GB,12MP,3000mAh
PEQ022,Multi-lateral bifurcated interface,Laptop,HP,542.31,True,4.9,344,2025-07-18T02:59:12.784898,,13.3 inch,,Intel i5,16GB,512GB SSD,,
TZK618,Business-focused user-facing access,Smartphone,Samsung,1904.97,True,3.9,185,2025-07-18T02:59:12.784966,,,,A16 Bionic,,256GB,12MP,3000mAh
MxZ553,Cross-platform bi-directional toolset,Television,Samsung,1503.49,True,4.1,287,2025-07-18T02:59:12.785037,OLED,55 inch,True,,,,,
Hau218,Robust tertiary groupware,Television,Sony,1339.73,False,3.7,608,2025-07-18T02:59:12.785117,QLED,43 inch,True,,,,,
eZY517,Exclusive upward-trending open system,Laptop,Dell,322.95,True,3.6,684,2025-07-18T02:59:12.785171,,13.3 inch,,AMD Ryzen 5,8GB,256GB SSD,,
aKj655,Versatile full-range archive,Laptop,Dell,611.65,False,4.5,613,2025-07-18T02:59:12.785216,,13.3 inch,,Intel i5,8GB,512GB SSD,,
qBq994,Multi-lateral full-range database,Laptop,Lenovo,875.94,True,4.4,978,2025-07-18T02:59:12.785258,,13.3 inch,,Intel i5,16GB,512GB SSD,,
end160,Quality-focused cohesive challenge,Laptop,Lenovo,757.88,False,4.2,745,2025-07-18T02:59:12.785305,,13.3 inch,,Intel i5,16GB,512GB SSD,,
oes123,Versatile intermediate capacity,Television,Sony,400.21,False,4.8,561,2025-07-18T02:59:12.785350,OLED,43 inch,True,,,,,
